First,Intention,gender,genderProbability,genderCount
Tlakaelel,For a bit of coding experience and to hang out with the homies and to have more to put on my resume. :),unknown,0,0
Trenton,"This is mainly to help build up my resume, but I would also like to attend a hackathon as I have never participated in one before.",male,1,6691
Troy,I have always wanted to attend a Hackathon and this competition is for a good cause!,male,1,89322
Trupti,"Making a positive impact: Hack for Humanity provides an opportunity to work on projects that can make a positive impact on society. By participating, one can contribute their skills and knowledge to help solve real-world problems.

Learning and growth: Hack for Humanity is a great platform to learn new skills, collaborate with other participants, and gain experience in working on real-world projects. It offers a chance to expand one's knowledge and improve their skills.

Networking: Hack for Humanity brings together people from diverse backgrounds and skillsets. It's an excellent opportunity to network with like-minded individuals, industry professionals, and potential employers.

Recognition: Winning or being recognized at Hack for Humanity can provide participants with a platform to showcase their skills and abilities. It could open up new opportunities and lead to further recognition in their respective fields.

Overall, attending Hack for Humanity can provide a unique opportunity to learn, network, and make a positive impact on society.",female,1,9982
Tsai-Chen,,unknown,0,0
Tyler,I enjoy coding and I think that it will be a good experience since software is such a useful technical skill. It is also a fun activity to do with friends. ,male,1,177445
Tyler,,male,1,177445
Varun,I want to attend Hack for Humanity to get more experience both with coding and team projects.,male,1,48297
Vatte,I wanted to attend hackathon to enchance my skills and you get to connect with different  people with different skills ,male,1,2
Vedica,,female,1,1
Vemuri,Meet new people and code.,male,0.91,11
Venkata,"I am really interested to participate in hackathons. Also, I am part of ACM-W at East bay, so I am more interested in this hackathon.",male,0.99,1388
Vennela,I have never been to a Hackathon before and I would like to attend one.,female,1,558
Vicki,,female,1,98631
Viet,,male,0.95,808
Vignesh,I want to gain valuable tech experience from this hackathon (my first one) by working with my peers which I hope will be useful in future college courses and internships and jobs post college. ,male,1,22343
Viral,Create a product that helps the humanity and also have fun night building something,male,1,7606
Vivienne,I’ve heard about hackathons here from people who’ve really enjoyed them so I thought I would give it a try too. I am also interested in learning/improving my coding skills and getting to know other people :),female,1,12281
Walker,,male,0.99,8704
Wenjing,,female,0.91,96
FALSE,"Always wanted to do a hackathon, now that I have a team I thought I might aswell. ",male,0.63,40
Xiaochao,,male,0.87,15
Xiaoxiao,For fun,female,0.74,243
Xinwei,I want to practice my programming skill,male,0.7,44
Yaacob,"I want to experience the event because I was unable to go last year, and also would like to network at the event.",male,0.84,19
Yamini,,female,1,7600
Yufu,1. Interested in software development 2. Social with people,male,0.79,29
YULIN,Wanna try to write interesting app or website in a short period ,female,0.58,102
Zhengdong,Challenge myself,male,1,12
Zoe,I would like to attend Hack for Humanity for the opportunity to experience my first hackathon and apply my knowledge to build something with my team.,female,0.99,72957
Nidhi,,female,1,34830
,,unknown,0,0
Jonathan,,male,1,592425
Jared,,male,1,88159
Vinh-Huy,,male,1,1
Sergio,,male,1,510977
Nicholas,,male,1,257796
Asad,,male,1,32460
Emma,,female,0.99,344546
,,unknown,0,0
